free_text,label_id
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),1
Đậu Văn Cường giờ giống thằng sida hơn à,0
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,1
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0
Coronavirus is manmade,0
Đố chúng m nhận ra ai,0
Lúp lúp như chó .,1
"🥰🥰🥰,0",0
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",1
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣,",0
"Cắt cho trẻ trâu bớt thui mà 😂😂😂,0",0
Nghe rất vô lí nhưng cực kì thuyết phục,0
"chán ghê hong có pé 2 mới máu được, hâhha",0
Sao t gửi đc bây,0
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0
Loại này cho dựa cột thôi chứ độ thế nào,1
Thuong wa di,0
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,1
Bamtp chạy ngay ddi:)),0
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0
Thật chán với chế độ quản lý dân sinh,1
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0
Sống chậm lại các mày ?,0
Chương trình quảng cáo xin đc bắt đầu,0
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,1
Nhậu cái đm chúng mày lũ chó hại dân hại nước,1
Thế Vinh Yasbaga tối cao,0
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,1
chuẩn,0
Chỉ 3 vàng ngọc như con heo nọc nhà e,1
phải thầy k ta,0
Cảnh sát chính tả comingg nè :)),0
Xuân đương tới nghĩa là xuân đương qua,0
Nhìn chúng nó cmt mà đắng bạn à =))))))),0
Ý thức còn ít hơn cả số tiền trong túi t,1
Em yêu anh từ thuở tóc dài,0
theo chân mấy anh hàn quốc rồi :,0
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0
"Mệt quá thầy ạ 😞,",0
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),0
chị Hôm nay đẹp quá,0
Xem r nè,0
"Việt Tiến nghèo là rõ 🤦,",0
"xxx video 🔞,",1
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),1
Anh ba láo nháo là Tú xiên giờ,1
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",1
"Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),",0
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,1
Vừa tăng lương phát biết ngay,0
Ai là cảm tình diên like,0
Xin tộc trưởng hãy cho Hiếu lợn thần ra trận! Đảm bảo sẽ có chiến thắng,0
"Đấu khẩu - Chim lợn 👍,",1
Cai miệng nói không sợ bị hậu quả,1
4 năm rồi à,0
"Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,",0
Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),0
Khắc Thành Nguyễn phục cái máu lồn,1
Quan va. Dan nhu nhau phai ton trong phap luat. Khong thuen vi mot ai?,0
Chúc abe 20-10 vui vẻ,0
ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,0
Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp:)),0
B52 If J97,0
Chào người anh em,0
Diệp Gia Nghi nghiệp nó quật m chết bh,0
"Duy Khương bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé, nó còn không cho xét nghiệm cơ, chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không, ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",0
"9x5=55 chứ ôg a già😆,",0
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),0
"Xin video với bro 😄,",0
Bị gì bị lắm thế,0
Du học sinh Úc cơ ấy =)),0
Ôi vãi a quang :v,0
Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,0
"Khá khó🙂,",0
Giúp e làm đẹp với . E ko có điều kiện. Ko có khả năg nhưg thấy có người đẹp e rất thích,0
"Thu Boo xuất sắc ...nhưng em lại làm mấy bạn kia buồn thêm 🤣🤣🤣,0",0
"Hoan nghênh ông Trần Dần có tư tưởng tiến bộ, không chống cộng sản Việt Nam nữa. Chỉ có quên đi quá khứ để yêu thương . Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất. Chúc ông Trần Dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão.",0
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,1
Võ Thành Nhân huyền thoại :((,0
