abbreviation,meaning
dấu bé 3,<3
dấu bé ba,<3
ák,á
a&f,abercrombie & fitch
annd,an ninh nhân dân
a/c,anh chị
ảnh cap,ảnh chụp màn hình
ộp pa,anh yêu
oppa,anh yêu
stress,áp lực
xì choét,áp lực
xì trét,áp lực
ái zà,ấy chà
3me,ba mẹ
///,ba que
3 que,ba que
3/,ba que
3///,ba que
3que,ba que
3 gar,ba rọi béo
3 goà,ba rọi béo
a3,ba rọi béo
anh 3,ba rọi béo
anh bar,ba rọi béo
anh be,ba rọi béo
ba gà,ba rọi béo
ba roi,ba rọi béo
bé ba,ba rọi béo
chi 3,ba rọi béo
chị 3,ba rọi béo
chị ba,ba rọi béo
cô 3,ba rọi béo
cô ba,ba rọi béo
dì ba,ba rọi béo
già ba,ba rọi béo
me ba,ba rọi béo
thầy ba,ba rọi béo
bac kj,bắc kỳ
bồn kỳ lắc,bắc kỳ lồn
bb,bạn bè
bao h,bao giờ
bắt lạt,bắt nạt
bầy đàng,bầy đàn
bây g,bây giờ
3d,bê đê
bơ đơ,bê đê
pe de,bê đê
ben10,benten
comment,bình luận
pó tay,bó tay
bọ chưởng,bộ trưởng
bô sa,bolsa
bon sa,bolsa
bôn sa,bolsa
bus cu,bú cu
burn real,bún riêu
ca tàn,cà tàng
***,cặc
b**i,cặc
c**,cặc
các bẹn,các bạn
what the fuck,cái đéo gì thế
cdmm,cái địt mẹ mày
nà ni,cái gì
nà ní,cái gì
cà khịa,cãi vã
cspccc,cảnh sát phòng cháy chữa cháy
accept,chấp nhận
cmm,chết mẹ mày
c i,chị ấy
cô ba vàng,chị ba vàng ngọc
con 3 vang ngoc,chị ba vàng ngọc
chỉ đ,chỉ điểm
j4f,chỉ đùa thôi
9 phủ,chính phủ
trính tã,chính tả
9 xác,chính xác
c hó,chó
ch ó,chó
cờ hó,chó
ccm,cho cà mu
chu ca mo,cho cà mu
chợ đx,chợ đồng xuân
chu cờ mo,cho rờ mu
chu rờ mo,cho rờ mu
chu gờ mo,cho sờ cu
troll,chơi khăm
cccđ,chống cộng cực đoan
chuaanr,chuẩn
hép pi niu yeah,chúc mừng năm mới
diss,chửi
pờ nhồ,chuyên nghiệp
cờ nhíp,clip
cố dấn,cố vấn
cc,con cặc
ccc,con cặc
coin card,con cặc
con c,con cặc
con card,con cặc
ccj,con cặc gì
cocc,con ông cháu cha
tu bi con tờ niu,còn tiếp
tu bi không tình yêu,còn tiếp
c a,công an
c an,công an
c.a,công an
c/a,công an
cô rô na,corona
cô vi,covid
c*,cu
củ kỉ,cũ kĩ
cu lon,củ lồn
cuccut,cục cứt
đại ka,đại ca
d4ng',đáng
dag mat,đáng mặt
rì viu,đánh giá
rát vàng,dát vàng
đ buồi,đầu buồi
đ buoi,đầu buồi
đ.buoi,đầu buồi
đ.buồi,đầu buồi
đầu b,đầu buồi
*éo,đéo
d',đéo
đ',đéo
"đ""",đéo
dell,đéo
đell,đéo
đéll,đéo
éo,đéo
l ồ n,lồn
l.ồ.n,lồn
lồ n,lồn
lồ.n,lồn
c.u,cu
c u,cu
p/s,ps
m*n,môn
ỉ ẹ,đĩ mẹ
đ/chỉ,địa chỉ
dtdd,điện thoại di động
đỉnh kout,đỉnh cao
ch ch,địt
ch!ch,địt
đ t,địt
đ!t,địt
d*t,địt
đ*t,địt
điss,địt
đờ cờ mờ,địt con mẹ
dcmm,địt con mẹ mày
đcmm,địt con mẹ mày
đ m,địt mẹ
đậu má,địt mẹ
đậu mạ,địt mẹ
đuỵt moẹ,địt mẹ
dì giây,dj
cáp tần,đội trưởng
đôn chề,dolce & gabbana
đồn ca,đồn công an
đ/c,đồng chí
đ*,đụ
đậu phộng,đụ má
ụ á,đụ má
ụ á ày,đụ má mày
đậu móa,đù mẹ
đờ mờ,đù mẹ
đou mẹ,đụ mẹ
đu me,đụ mẹ
dmm,đụ mẹ mài
đmm,đụ mẹ mài
dừa lờ,dừa lòng
ô kê,được
okeere,được
bottom,đường dưới
bấy bì,em bé
ffq,friend forever gaming
rằng rủi,gần gũi
gờ đờ,gdragon
gờ đờ ra gon,gdragon
gờ đờ ra gôn,gdragon
gk3^,ghê
j đó,gì đó
j v,gì vậy
j zay,gì vậy
jz tr,gì vậy trời
f1,giả
kill,giết
ka ka,ha ha
kk,ha ha
hà lội,hà nội
haixx,hài
hazz,hài
hàn sẻng,hàn quốc
hàng face,hàng fake
ăn hành,hành hạ
ki ki,hi hi
ông họ hồ,hồ chí minh
support,hỗ trợ
bơ phẹt,hoàn hảo
hk sinh,học sinh
hk trò,học trò
hok tro`,học trò
bôi trơn,hối lộ
hô ni hút,hollywood
a dua,hùa theo
ỉ*,ỉa
cây atm,katm
cây ây ty em,katm
k atm,katm
k-atm,katm
kây atm,katm
khox',khóc
khon nan,khốn nạn
không biếc,không biết
k icm,kicm
k-icm,kicm
k pop,kpop
k-pop,kpop
skill,kỹ năng
2 light,làm nổi bật
l2,lần hai
lat do,lật đổ
va lung tung,lễ tình nhân
lew lew,lêu lêu
liu liu,lêu lêu
liêm xỉ,liêm sỉ
con lô,lô đề
lốc less,loch ness
l o n,lồn
