word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:1st_place_medal:,🥇,Medal địa điểm đầu tiên,medal địa điểm đầu tiên,1st place medal
:2nd_place_medal:,🥈,huy chương vị trí số 2,huy chương vị trí số 2,2nd place medal
:3rd_place_medal:,🥉,huy chương vị trí số 2,huy chương vị trí số 2,3rd place medal
:AB_button_(blood_type):,🆎,Nút AB (Nhóm máu),nút ab (nhóm máu),AB button (blood type)
:ATM_sign:,🏧,Dấu hiệu ATM.,dấu hiệu atm,ATM sign
:A_button_(blood_type):,🅰,nút A (nhóm máu),nút a (nhóm máu),A button (blood type)
:Afghanistan:,🇦🇫,Afghanistan.,afghanistan,Afghanistan
:Albania:,🇦🇱,Albania.,albania,Albania
:Algeria:,🇩🇿,Algeria.,algeria,Algeria
:American_Samoa:,🇦🇸,American Samoa,american samoa,American Samoa
:Andorra:,🇦🇩,Andorra,andorra,Andorra
:Angola:,🇦🇴,Angola.,angola,Angola
:Anguilla:,🇦🇮,Anguilla.,anguilla,Anguilla
:Antarctica:,🇦🇶,Nam Cực,nam cực,Antarctica
:Antigua_&_Barbuda:,🇦🇬,Antigua và Barbuda,antigua và barbuda,Antigua & Barbuda
:Aquarius:,♒,Bảo Bình,bảo bình,Aquarius
:Argentina:,🇦🇷,Argentina.,argentina,Argentina
:Aries:,♈,Bạch Dương,bạch dương,Aries
:Armenia:,🇦🇲,Armenia.,armenia,Armenia
:Aruba:,🇦🇼,Aruba.,aruba,Aruba
:Ascension_Island:,🇦🇨,Đảo Ascension,đảo ascension,Ascension Island
:Australia:,🇦🇺,Úc,úc,Australia
:Austria:,🇦🇹,Áo.,áo,Austria
:Azerbaijan:,🇦🇿,Azerbaijan.,azerbaijan,Azerbaijan
:BACK_arrow:,🔙,Mũi tên trở lại,mũi tên trở lại,BACK arrow
:B_button_(blood_type):,🅱,Nút b (nhóm máu),nút b (nhóm máu),B button (blood type)
:Bahamas:,🇧🇸,Bahamas.,bahamas,Bahamas
:Bahrain:,🇧🇭,Bahrain.,bahrain,Bahrain
:Bangladesh:,🇧🇩,Bangladesh.,bangladesh,Bangladesh
:Barbados:,🇧🇧,Barbados,barbados,Barbados
:Belarus:,🇧🇾,Belarus.,belarus,Belarus
:Belgium:,🇧🇪,Bỉ,bỉ,Belgium
:Belize:,🇧🇿,Belize.,belize,Belize
:Benin:,🇧🇯,Bénin.,bénin,Benin
:Bermuda:,🇧🇲,Bermuda.,bermuda,Bermuda
:Bhutan:,🇧🇹,Bhutan.,bhutan,Bhutan
