abb,start_index,end_index,cmt,origin,,,,,,,,,,,,,,,,,,,,,
ah,41,43,dạo này pản động nhiếu quá mấy bạn bò đỏ ah d,à,,,,,,,,,,,,,,,,,,,,,
ah,3,5,ủa ah nói hay vậy,anh,,,,,,,,,,,,,,,,,,,,,
ah,70,72,trang nay bi bon viet tan mua dut rồi bay gio chi thay mui thôi không ah,à,,,,,,,,,,,,,,,,,,,,,
ah,55,57,cờ giáo hội tựng trưng cho hòa bình công lý không biết ah,à,,,,,,,,,,,,,,,,,,,,,
ah,0,2,ah độ đẹp đôi với chị trang quá,anh,,,,,,,,,,,,,,,,,,,,,
ah,16,18,con chúc cô với ah châu có nhiều sức khỏe nhé,anh,,,,,,,,,,,,,,,,,,,,,
ah,68,70,đêm nào em cũng xem liếp của chị hết hình chị có hậu và đẹp lắm chị ah,à,,,,,,,,,,,,,,,,,,,,,
ah,16,18,cái này vẫn còn ah anh,à,,,,,,,,,,,,,,,,,,,,,
ah,232,234,em ơi con linh dai loan no co nhô lông dai táng em chua ma em lai lên xi gon kiêm no con nua lam nhu em co bao nhiêu vang lây ra đéo hêt hay sao vây dzom giông vang gia nhin den thôi lui ha nêu la vang thiêt thi no se sang loe luôn ah em ơi cho anh noi nghe ne em quên cai con linh dai loan di no noi bon cộng sản việt nam an cut táng no nêu ma no ngung goi tiên usd ve thôi chu no không co noi em an cut táng no em co biet miên tây bây gio bi nuoc man va khô han khong ne bon trung quôc no ngan dong chây táng sông me kông rôi dân mien tay se chet doi het em chui thang trung quoc dum anh di em em dzam chui khong ne anh so bn trung công no den nhé em no nhô sach lông dai táng em do nhé,à,,,,,,,,,,,,,,,,,,,,,
ah,16,18,bố độ chấn tiền ah bô cao lãnh,anh,,,,,,,,,,,,,,,,,,,,,
ah,144,146,chuẩn luôn không thích theo dõi facebook thì bỏ theo dõi đi theo dõi người ta mà không chấp nhận những gì người ta đăng vậy hoá là sống giả tạo ah,à,,,,,,,,,,,,,,,,,,,,,
ah,294,296,địt mẹ thằng quản trị viên này phản lại cái động bố nó thông minh tài giỏi mới làm lãnh đạo nó có gen di truyền thông minh tài giỏi đó mới làm lãnh đạo như bố nó không lẽ mày muốn thằng phụ bếp làm tủ lạnh thằng thiến heo làm tổng bí thư vậy vậy địt mẹ có mà xuống hố cả nút đất nước này ah địt mẹ,à,,,,,,,,,,,,,,,,,,,,,
ah,83,85,địt con mẹ chúng nó vẽ rađể ăn chia với nhau ý mà làm cổng để tế thằng tổ chúng nó ah,à,,,,,,,,,,,,,,,,,,,,,
ah,79,81,bà cũng thiệt tình ghê giờ chưa có cho từ thiện toàn mấy anh mấy chị cho không ah,à,,,,,,,,,,,,,,,,,,,,,
ah,14,16,tân hiệp phát ah,à,,,,,,,,,,,,,,,,,,,,,
